dataset,mcc_breiman,mcc_ancestor,mcc_zhu
AllGestureWiimoteZ,0.4592274678111588,0.4663805436337625,0.4792560801144492
AllGestureWiimoteZ,0.4406294706723891,0.463519313304721,0.474964234620887
AllGestureWiimoteZ,0.42775393419170243,0.4434907010014306,0.4563662374821173
AllGestureWiimoteZ,0.43061516452074394,0.43204577968526464,0.4449213161659514
AllGestureWiimoteZ,0.4406294706723891,0.463519313304721,0.4721030042918455
AllGestureWiimoteZ,0.4449213161659514,0.45493562231759654,0.47353361945636624
AllGestureWiimoteZ,0.44206008583690987,0.4663805436337625,0.4592274678111588
AllGestureWiimoteZ,0.43061516452074394,0.47782546494992845,0.4721030042918455
AllGestureWiimoteZ,0.474964234620887,0.46065808297567956,0.4663805436337625
AllGestureWiimoteZ,0.43061516452074394,0.42775393419170243,0.4406294706723891
AllGestureWiimoteZ,0.4263233190271817,0.4449213161659514,0.4520743919885551
AllGestureWiimoteZ,0.44778254649499283,0.47353361945636624,0.48068669527896996
AllGestureWiimoteZ,0.44206008583690987,0.46494992846924177,0.44778254649499283
AllGestureWiimoteZ,0.4406294706723891,0.45493562231759654,0.4592274678111588
AllGestureWiimoteZ,0.4592274678111588,0.46924177396280403,0.46208869814020026
AllGestureWiimoteZ,0.4263233190271817,0.4363376251788269,0.4406294706723891
AllGestureWiimoteZ,0.44635193133047213,0.47639484978540775,0.4821173104434907
AllGestureWiimoteZ,0.43490701001430615,0.44635193133047213,0.44635193133047213
AllGestureWiimoteZ,0.4291845493562232,0.46065808297567956,0.46924177396280403
AllGestureWiimoteZ,0.44206008583690987,0.46494992846924177,0.4563662374821173
AllGestureWiimoteZ,0.463519313304721,0.4663805436337625,0.4721030042918455
AllGestureWiimoteZ,0.43204577968526464,0.41487839771101576,0.4206008583690987
AllGestureWiimoteZ,0.4492131616595136,0.46208869814020026,0.47782546494992845
AllGestureWiimoteZ,0.43776824034334766,0.4449213161659514,0.4520743919885551
AllGestureWiimoteZ,0.4492131616595136,0.46494992846924177,0.47639484978540775
AllGestureWiimoteZ,0.45779685264663805,0.463519313304721,0.47067238912732473
AllGestureWiimoteZ,0.43061516452074394,0.4520743919885551,0.4592274678111588
AllGestureWiimoteZ,0.4263233190271817,0.4663805436337625,0.46494992846924177
AllGestureWiimoteZ,0.4449213161659514,0.46208869814020026,0.4678111587982833
AllGestureWiimoteZ,0.4334763948497854,0.46065808297567956,0.45779685264663805
AllGestureWiimoteZ,0.44635193133047213,0.463519313304721,0.474964234620887
