dataset,accuracy_rf,accuracy_breiman,accuracy_ancestor,accuracy_zhu
ArrowHead,0.6494252873563219,0.7471264367816092,0.7758620689655172,0.7471264367816092
ArrowHead,0.6724137931034483,0.7298850574712644,0.7471264367816092,0.7126436781609196
ArrowHead,0.6091954022988506,0.735632183908046,0.7873563218390804,0.7471264367816092
ArrowHead,0.6149425287356322,0.6954022988505747,0.7701149425287356,0.7068965517241379
BME,0.8322147651006712,0.9731543624161074,0.87248322147651,0.9328859060402684
BME,0.8791946308724832,0.9798657718120806,0.912751677852349,0.959731543624161
BME,0.7986577181208053,0.9798657718120806,0.9395973154362416,0.959731543624161
BME,0.9798657718120806,0.9798657718120806,0.8993288590604027,0.9463087248322147
BME,0.8590604026845637,0.912751677852349,0.8993288590604027,0.9194630872483222
BME,0.8859060402684564,0.9731543624161074,0.9194630872483222,0.9328859060402684
BME,0.8187919463087249,0.9328859060402684,0.8791946308724832,0.9261744966442953
BME,0.8859060402684564,0.9731543624161074,0.9194630872483222,0.9395973154362416
BME,0.8657718120805369,0.9530201342281879,0.9060402684563759,0.9328859060402684
BME,0.8657718120805369,0.8926174496644296,0.8590604026845637,0.8926174496644296
BME,0.8187919463087249,0.9463087248322147,0.8389261744966443,0.8657718120805369
BME,0.825503355704698,0.9798657718120806,0.8926174496644296,0.9328859060402684
BME,0.8926174496644296,0.9932885906040269,0.8791946308724832,0.9328859060402684
BME,0.7986577181208053,0.9261744966442953,0.8322147651006712,0.8657718120805369
BME,0.8791946308724832,0.9530201342281879,0.8389261744966443,0.8926174496644296
BME,0.7986577181208053,0.9395973154362416,0.8859060402684564,0.9194630872483222
BME,0.7986577181208053,0.8926174496644296,0.8456375838926175,0.8389261744966443
BME,0.9463087248322147,0.9798657718120806,0.9060402684563759,0.9664429530201343
BME,0.8389261744966443,0.9731543624161074,0.912751677852349,0.9530201342281879
BME,0.8389261744966443,0.9395973154362416,0.8993288590604027,0.9194630872483222
BME,0.8926174496644296,0.9530201342281879,0.8791946308724832,0.8859060402684564
BME,0.9194630872483222,0.9798657718120806,0.8590604026845637,0.9395973154362416
BME,0.9530201342281879,0.9865771812080537,0.8523489932885906,0.912751677852349
BME,0.9194630872483222,0.9798657718120806,0.8523489932885906,0.8993288590604027
BME,0.8657718120805369,0.9798657718120806,0.8926174496644296,0.9261744966442953
BME,0.785234899328859,0.9328859060402684,0.8389261744966443,0.8791946308724832
BME,0.8187919463087249,0.9530201342281879,0.8456375838926175,0.87248322147651
BME,0.8859060402684564,0.9395973154362416,0.8053691275167785,0.8322147651006712
BME,0.9261744966442953,0.9664429530201343,0.9060402684563759,0.9328859060402684
BME,0.8859060402684564,0.9865771812080537,0.8993288590604027,0.9395973154362416
BME,0.8523489932885906,0.9731543624161074,0.8657718120805369,0.8926174496644296
BME,0.8590604026845637,0.9395973154362416,0.825503355704698,0.8523489932885906
BME,0.7986577181208053,0.9530201342281879,0.8523489932885906,0.8926174496644296
BME,0.9194630872483222,0.9932885906040269,0.8590604026845637,0.9060402684563759
BME,0.9261744966442953,0.9530201342281879,0.87248322147651,0.8926174496644296
BME,0.825503355704698,0.9731543624161074,0.87248322147651,0.8859060402684564
BME,0.8590604026845637,0.9865771812080537,0.9328859060402684,0.9664429530201343
BME,0.8791946308724832,0.912751677852349,0.87248322147651,0.8859060402684564
BME,0.7986577181208053,0.912751677852349,0.8456375838926175,0.8859060402684564
BME,0.8187919463087249,0.9463087248322147,0.8523489932885906,0.8993288590604027
BME,0.8389261744966443,0.9261744966442953,0.8322147651006712,0.8791946308724832
BME,0.8389261744966443,0.9664429530201343,0.8590604026845637,0.8791946308724832
BME,0.87248322147651,0.9932885906040269,0.912751677852349,0.9731543624161074
BME,0.7919463087248322,0.959731543624161,0.9194630872483222,0.9328859060402684
BME,0.8791946308724832,0.9664429530201343,0.8791946308724832,0.8993288590604027
BME,0.8456375838926175,0.9530201342281879,0.8322147651006712,0.8926174496644296
BME,0.8187919463087249,0.9194630872483222,0.825503355704698,0.8590604026845637
BME,0.912751677852349,0.959731543624161,0.8993288590604027,0.9261744966442953
BME,0.7986577181208053,0.9463087248322147,0.825503355704698,0.8926174496644296
BME,0.912751677852349,0.9261744966442953,0.825503355704698,0.8791946308724832
Beef,0.7931034482758621,0.6896551724137931,0.6896551724137931,0.6551724137931034
Beef,0.7586206896551724,0.6896551724137931,0.6551724137931034,0.6551724137931034
Beef,0.7586206896551724,0.7241379310344828,0.6896551724137931,0.7241379310344828
Beef,0.7586206896551724,0.7241379310344828,0.6896551724137931,0.7241379310344828
Beef,0.6896551724137931,0.6896551724137931,0.6551724137931034,0.7241379310344828
Beef,0.7931034482758621,0.7586206896551724,0.7241379310344828,0.7586206896551724
Beef,0.7241379310344828,0.6551724137931034,0.6896551724137931,0.6896551724137931
Beef,0.8275862068965517,0.6896551724137931,0.6551724137931034,0.6896551724137931
Beef,0.7931034482758621,0.7931034482758621,0.8275862068965517,0.8275862068965517
Beef,0.6896551724137931,0.7586206896551724,0.7586206896551724,0.7586206896551724
Beef,0.7586206896551724,0.7241379310344828,0.6896551724137931,0.6896551724137931
Beef,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7931034482758621
Beef,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724
Beef,0.6551724137931034,0.7241379310344828,0.6896551724137931,0.7241379310344828
Beef,0.7586206896551724,0.7931034482758621,0.8275862068965517,0.7931034482758621
Beef,0.7241379310344828,0.7241379310344828,0.7586206896551724,0.7586206896551724
Beef,0.7931034482758621,0.6896551724137931,0.7586206896551724,0.7931034482758621
Beef,0.7931034482758621,0.7241379310344828,0.6551724137931034,0.6896551724137931
Beef,0.8275862068965517,0.7586206896551724,0.7586206896551724,0.7586206896551724
Beef,0.7931034482758621,0.8275862068965517,0.7931034482758621,0.7586206896551724
Beef,0.7241379310344828,0.7241379310344828,0.6551724137931034,0.6896551724137931
Beef,0.6551724137931034,0.6896551724137931,0.7241379310344828,0.7241379310344828
Beef,0.7241379310344828,0.7586206896551724,0.7586206896551724,0.7586206896551724
Beef,0.6551724137931034,0.7241379310344828,0.7241379310344828,0.7241379310344828
Beef,0.7241379310344828,0.6551724137931034,0.6551724137931034,0.6551724137931034
Beef,0.7241379310344828,0.7241379310344828,0.6551724137931034,0.6896551724137931
Beef,0.7931034482758621,0.6896551724137931,0.6551724137931034,0.6206896551724138
Beef,0.6551724137931034,0.6551724137931034,0.5517241379310345,0.6206896551724138
Beef,0.7931034482758621,0.6896551724137931,0.6896551724137931,0.6896551724137931
Beef,0.8275862068965517,0.7241379310344828,0.6896551724137931,0.7241379310344828
Beef,0.7241379310344828,0.7931034482758621,0.7931034482758621,0.7931034482758621
Beef,0.7931034482758621,0.7241379310344828,0.6896551724137931,0.6551724137931034
Beef,0.8275862068965517,0.7586206896551724,0.7241379310344828,0.7586206896551724
Beef,0.7931034482758621,0.7586206896551724,0.7586206896551724,0.7931034482758621
Beef,0.6896551724137931,0.6551724137931034,0.6896551724137931,0.6551724137931034
Beef,0.7931034482758621,0.7586206896551724,0.7241379310344828,0.7931034482758621
Beef,0.7586206896551724,0.7241379310344828,0.6896551724137931,0.7586206896551724
Beef,0.7586206896551724,0.6551724137931034,0.6896551724137931,0.6896551724137931
Beef,0.7241379310344828,0.7931034482758621,0.7241379310344828,0.7586206896551724
Beef,0.7586206896551724,0.7241379310344828,0.7241379310344828,0.7586206896551724
Beef,0.8275862068965517,0.7586206896551724,0.7241379310344828,0.7241379310344828
Beef,0.7586206896551724,0.7241379310344828,0.7241379310344828,0.6896551724137931
Beef,0.7931034482758621,0.8620689655172413,0.7241379310344828,0.7931034482758621
Beef,0.7241379310344828,0.7931034482758621,0.7586206896551724,0.7931034482758621
Beef,0.7931034482758621,0.7241379310344828,0.7241379310344828,0.7931034482758621
Beef,0.6896551724137931,0.6896551724137931,0.6551724137931034,0.6551724137931034
Beef,0.7586206896551724,0.7931034482758621,0.7931034482758621,0.7931034482758621
Beef,0.6206896551724138,0.7241379310344828,0.6896551724137931,0.7241379310344828
Beef,0.7931034482758621,0.7586206896551724,0.6896551724137931,0.6896551724137931
Beef,0.5862068965517241,0.6551724137931034,0.6896551724137931,0.6896551724137931
BeetleFly,0.8947368421052632,0.8421052631578947,0.5263157894736842,0.47368421052631576
BeetleFly,0.8421052631578947,0.7894736842105263,0.631578947368421,0.631578947368421
BeetleFly,0.8421052631578947,0.7894736842105263,0.631578947368421,0.631578947368421
BeetleFly,0.8947368421052632,0.7368421052631579,0.7368421052631579,0.7368421052631579
BeetleFly,0.7368421052631579,0.7894736842105263,0.631578947368421,0.7368421052631579
BeetleFly,0.7894736842105263,0.8947368421052632,0.7368421052631579,0.7368421052631579
BeetleFly,0.7368421052631579,0.6842105263157895,0.7894736842105263,0.7894736842105263
BeetleFly,0.8947368421052632,0.7368421052631579,0.631578947368421,0.5789473684210527
BeetleFly,0.8421052631578947,0.6842105263157895,0.47368421052631576,0.631578947368421
BeetleFly,1,0.8421052631578947,0.6842105263157895,0.6842105263157895
BeetleFly,0.7894736842105263,0.8421052631578947,0.7894736842105263,0.8421052631578947
BeetleFly,0.7894736842105263,0.7368421052631579,0.8421052631578947,0.7894736842105263
BeetleFly,0.8947368421052632,0.8421052631578947,0.9473684210526315,0.9473684210526315
BeetleFly,0.8947368421052632,0.6842105263157895,0.6842105263157895,0.6842105263157895
BeetleFly,0.8421052631578947,0.7894736842105263,0.5789473684210527,0.631578947368421
BeetleFly,0.8947368421052632,0.8421052631578947,0.8421052631578947,0.7894736842105263
BeetleFly,0.7894736842105263,0.7368421052631579,0.6842105263157895,0.6842105263157895
BeetleFly,0.8421052631578947,0.7368421052631579,0.7368421052631579,0.8421052631578947
BeetleFly,0.9473684210526315,0.8947368421052632,0.631578947368421,0.7894736842105263
BeetleFly,0.9473684210526315,0.5789473684210527,0.7368421052631579,0.6842105263157895
BeetleFly,0.8947368421052632,0.8421052631578947,0.631578947368421,0.6842105263157895
BeetleFly,0.7368421052631579,0.7368421052631579,0.8421052631578947,0.7894736842105263
BeetleFly,0.9473684210526315,0.8947368421052632,0.7368421052631579,0.7894736842105263
BeetleFly,0.8947368421052632,0.8421052631578947,0.47368421052631576,0.47368421052631576
BeetleFly,0.9473684210526315,0.7894736842105263,0.7894736842105263,0.6842105263157895
BeetleFly,0.8947368421052632,0.7894736842105263,0.7894736842105263,0.7368421052631579
BeetleFly,0.8421052631578947,0.6842105263157895,0.7368421052631579,0.7894736842105263
BeetleFly,0.8421052631578947,0.7368421052631579,0.7368421052631579,0.6842105263157895
BeetleFly,0.9473684210526315,0.8421052631578947,0.6842105263157895,0.7894736842105263
BeetleFly,0.7894736842105263,0.7894736842105263,0.5789473684210527,0.5789473684210527
