dataset,accuracy_breiman,accuracy_ancestor,accuracy_zhu
DistalPhalanxTW,0.6521739130434783,0.6304347826086957,0.6304347826086957
DistalPhalanxTW,0.644927536231884,0.6521739130434783,0.6521739130434783
ECG200,0.8787878787878788,0.8787878787878788,0.8787878787878788
ECG200,0.8484848484848485,0.8484848484848485,0.8484848484848485
ECG200,0.8686868686868687,0.8686868686868687,0.8686868686868687
ECG200,0.8585858585858586,0.8686868686868687,0.8686868686868687
ECG200,0.8787878787878788,0.8787878787878788,0.8686868686868687
ECG200,0.8585858585858586,0.8686868686868687,0.8585858585858586
ECG200,0.8484848484848485,0.8484848484848485,0.8585858585858586
ECG200,0.8585858585858586,0.8585858585858586,0.8686868686868687
ECG200,0.8585858585858586,0.8585858585858586,0.8585858585858586
ECG200,0.8585858585858586,0.8585858585858586,0.8585858585858586
ECG5000,0.941320293398533,0.9406534785507891,0.9408757501667037
ECG5000,0.9406534785507891,0.941987108246277,0.9415425650144477
ECG5000,0.9415425650144477,0.9404312069348744,0.9408757501667037
ECG5000,0.9404312069348744,0.9399866637030451,0.9395421204712159
ECG5000,0.941320293398533,0.9424316514781063,0.9410980217826184
ECG5000,0.9406534785507891,0.9406534785507891,0.9406534785507891
ECG5000,0.9402089353189598,0.9404312069348744,0.9399866637030451
ECG5000,0.9406534785507891,0.9404312069348744,0.9395421204712159
ECG5000,0.9397643920871305,0.9397643920871305,0.9393198488553012
ECG5000,0.9399866637030451,0.9395421204712159,0.9393198488553012
ECGFiveDays,0.8639534883720931,0.8860465116279069,0.8965116279069767
ECGFiveDays,0.8511627906976744,0.8395348837209302,0.8453488372093023
ECGFiveDays,0.8383720930232558,0.8534883720930233,0.8569767441860465
ECGFiveDays,0.8569767441860465,0.858139534883721,0.8709302325581395
ECGFiveDays,0.8651162790697674,0.8558139534883721,0.8488372093023255
ECGFiveDays,0.8337209302325581,0.8430232558139535,0.8348837209302326
ECGFiveDays,0.8441860465116279,0.8686046511627907,0.8453488372093023
ECGFiveDays,0.8558139534883721,0.8093023255813954,0.8430232558139535
ECGFiveDays,0.836046511627907,0.8616279069767442,0.8488372093023255
ECGFiveDays,0.8558139534883721,0.786046511627907,0.813953488372093
EOGHorizontalSignal,0.5318559556786704,0.5207756232686981,0.5069252077562327
